epoch,train_loss,val_macro_auc,val_macro_auprc,val_fmax,lr
1,0.7550047191188616,0.8651902861574946,0.6822228726737539,0.6059315281540665,0.0009990143508499217
2,0.6739903952488128,0.8756006064507208,0.7064722237952156,0.6000447068816398,0.0009960612933065818
3,0.6518478395746035,0.8883447466363315,0.7216478089967099,0.6159438338430614,0.00099115248173898
4,0.6354004957658403,0.8909893859410252,0.7308401575345508,0.6547657610677817,0.0009843072889837512
5,0.6297854203730822,0.8910578765008068,0.7227569476143748,0.6177287940744445,0.0009755527298894294
6,0.6175591071300647,0.8875968583921733,0.7234037969546552,0.5645867664835494,0.0009649233547011816
7,0.6125025202465408,0.8993964607165845,0.7469652371992698,0.6654840300420253,0.0009524611127067769
8,0.6079428721876705,0.8944470662558863,0.7349801233552172,0.6036664567210337,0.0009382151866819099
9,0.6055645177907804,0.8951504674244507,0.7322698613074496,0.5503600771893902,0.0009222417987882566
10,0.5971774081973469,0.8879886091353566,0.7362379155600604,0.6538654841627891,0.0009046039886902864
11,0.592922152732225,0.9031933245823331,0.7499668421725525,0.687222938401775,0.0008853713647665069
12,0.5894509529804483,0.9019041832335736,0.7510957727481927,0.6880361103147452,0.0008646198293969952
13,0.58769405140158,0.8976137658498171,0.739528564261253,0.5647246915120478,0.0008424312794113801
14,0.5835010364432546,0.9061916074319925,0.7573242494859735,0.6657124142952789,0.0008188932828794706
15,0.5767302172368064,0.8960869142931716,0.7449907205992872,0.6867459737344929,0.0007940987335200906
16,0.5743200013085323,0.9048639204481284,0.753084480570723,0.6895485558762511,0.0007681454840920089
17,0.5693513186758056,0.9053391928699884,0.7549481859423413,0.6760282761860885,0.0007411359602138069
18,0.5644103093620609,0.895953215643307,0.7419951688341714,0.6188061154004915,0.0007131767561367538
19,0.5648142201278139,0.9047624030184178,0.758070178291975,0.6709871552602971,0.0006843782140659967
20,0.5556323466932073,0.905553113277039,0.7581592512717026,0.6825720168169267,0.0006548539886902863
21,0.556938362910467,0.903803335537253,0.7517816681610819,0.6762343437327816,0.0006247205986388449
22,0.5514183679924292,0.9034598521197355,0.756661177211227,0.6572631382481976,0.0005940969666355696
23,0.5476616728393471,0.9055931326621321,0.7627294475465298,0.7035698843898224,0.0005631039501653701
24,0.5483357324538862,0.900328858778718,0.7535500701458269,0.6749494514146605,0.0005318638645048921
25,0.5384122928714051,0.903510253123779,0.7552211806218764,0.6985348991350621,0.0005005
26,0.5340102233869188,0.9080723663010598,0.7651146792156326,0.7014948395794465,0.00046913613549510796
27,0.5306674005354152,0.9090059374716386,0.7653893867301717,0.7023009202915669,0.00043789604983463003
28,0.5262695924543282,0.9076396602743229,0.7637465419458613,0.6970461029350068,0.00040690303336443054
29,0.5189173607265248,0.9074902090804416,0.763691064500932,0.7075950894197622,0.000376279401361155
30,0.5216339326956693,0.9062003865212459,0.7579359163051735,0.7054997173491461,0.00034614601130971394
31,0.5145036192501292,0.9076213346424492,0.7638647788592055,0.7126307940582308,0.00031662178593400354
32,0.5090416426606038,0.9108980572110724,0.7677475874258755,0.712123560041158,0.00028782324386324626
33,0.5052484254188397,0.9038477540243821,0.756423677877815,0.6964613018580931,0.00025986403978619317
34,0.5025865152916488,0.9075376018768674,0.7632024988761614,0.708311681830341,0.00023285451590799105
35,0.4957081203294151,0.9065636558208248,0.7616243957094283,0.7079498327420854,0.0002069012664799097
36,0.4902675798272385,0.9126771264023473,0.7706728396510453,0.705497827266867,0.00018210671712052946
37,0.488797134555438,0.9102778685341757,0.7675495813965891,0.708509833762625,0.00015856872058861996
38,0.47931849879815297,0.9103258419430993,0.7676687589016968,0.7168046415803465,0.00013638017060300502
39,0.4769991435767973,0.9076660531117818,0.7639579152672039,0.7112828769974102,0.0001156286352334933
40,0.47438070276642547,0.9095818599912532,0.7659691905936912,0.7171555894782152,9.639601130971378e-05
41,0.4716079798253143,0.9074857611384723,0.7635240503917242,0.713201843580318,7.875820121174356e-05
42,0.4697009735905072,0.9083892922267573,0.765653128082197,0.7165105819242094,6.278481331809012e-05
43,0.4649093392140725,0.9092319381374393,0.7658464087983219,0.7172177851839149,4.853888729322332e-05
44,0.4629615746876773,0.9093919556013116,0.7667004949041081,0.7172899654720244,3.607664529881844e-05
45,0.4596179517752984,0.9107055531519912,0.7678116983163171,0.7148122174532294,2.5447270110570804e-05
46,0.45758729132221027,0.9095938815563874,0.7663595021000438,0.7149574534807361,1.6692711016248827e-05
47,0.4571294890826239,0.909016126344364,0.7662789693674347,0.7156361740640518,9.84751826101998e-06
48,0.45511627832756324,0.9090400821929114,0.7656057530699812,0.7165850286364067,4.938706693418354e-06
49,0.45639252301086397,0.9089454240987755,0.7656672214892299,0.7169727240707839,1.9856491500783555e-06
50,0.4523691952447681,0.9086841240291343,0.765440252934422,0.7187581918338595,1e-06
