epoch,train_loss,val_macro_auc,val_macro_auprc,val_fmax,lr
1,0.07137058328097577,0.6158964896661325,0.3723930885775026,0.4023225816965702,5.9999999999999995e-05
2,0.06280828710398911,0.6812928370972334,0.4349506566672606,0.4032721729876946,8.999999999999999e-05
3,0.05801713525536744,0.729198872527449,0.4885167846195351,0.4203660473183044,0.00011999999999999999
4,0.05604246751103988,0.7624495588659215,0.5276979678244857,0.4350298211071369,0.00015
5,0.054653995927176714,0.7882635343695158,0.5580200628415026,0.4534338010357358,0.00017999999999999998
6,0.05411949037122266,0.809499290835042,0.582861459560432,0.49195225412482835,0.00020999999999999998
7,0.053347310701878196,0.8273164157478297,0.6052787365683339,0.5103601889311393,0.00023999999999999998
8,0.05352745642748607,0.8416249836633766,0.6256288249626194,0.5223944420293095,0.00027
9,0.0528809677446535,0.8516321720202026,0.6425982552008548,0.5339031898046072,0.0003
10,0.05255581636789858,0.8592233896445967,0.6581577490676166,0.5582148556605687,0.0003
11,0.05215804589405546,0.8651981305931598,0.6716158591810559,0.5822466169167789,0.0002997040092642407
12,0.05123434566057233,0.8706277319175783,0.6845441677447386,0.6084737727799715,0.0002988172051971717
13,0.05095896309734706,0.8757759878109684,0.6975935815694164,0.6218329845952013,0.0002973430876093033
14,0.04988833434318247,0.8805924328554745,0.7096370671259965,0.6431133990832391,0.00029528747416929463
15,0.04996231696157552,0.8851226749735515,0.7207673940077765,0.6575505698070507,0.00029265847744427303
16,0.04951836452956366,0.8893868967821547,0.7308470893969468,0.6683311213510217,0.00028946647288323766
17,0.049492719162063784,0.893147630095547,0.7396313288574854,0.6782691076368729,0.00028572405786990294
18,0.04866918094921857,0.8963216193592782,0.7464873352038379,0.6837418814041228,0.0002814460020065795
19,0.048674940586994016,0.8990947447088301,0.7523385478213138,0.6929658227335443,0.00027664918882530225
20,0.04728592395686599,0.9013717596409881,0.7567724093747712,0.6982597570697042,0.0002713525491562421
21,0.046952468151336205,0.90322580413952,0.7604048363697199,0.6994324044162604,0.00026557698641636835
22,0.04660144523950294,0.9048083422205286,0.7634019457188067,0.7022527837481842,0.0002593452941132117
23,0.045997647270697224,0.9061933938745428,0.7660593101825391,0.7043383737152464,0.0002526820658893033
24,0.045667978072100705,0.9073371786360974,0.7680931367688338,0.7065226619406497,0.0002456135984623034
25,0.04442852157722775,0.9083977188258314,0.7699919421706427,0.709767420230273,0.00023816778784387094
26,0.04399838503313196,0.909215453533314,0.7712031092404406,0.7103136537714247,0.00023037401924684946
27,0.043167106190915495,0.9099618964255974,0.7727482716187699,0.7107710910704559,0.00022226305111525726
28,0.04232325652436189,0.9107090167283454,0.7740783118969142,0.7118155980884173,0.00021386689373476087
29,0.04188918869134367,0.9113385386365451,0.7754243611939609,0.7126434832342687,0.0002052186829027017
30,0.04067408805884257,0.9118552144583457,0.7762969639891023,0.7157824875911325,0.0001963525491562421
31,0.039616168712895805,0.9123451683084844,0.7772127818829826,0.7155560866983702,0.00018730348307472824
32,0.03927326944882653,0.9128571517494365,0.7780752910129205,0.7160571974522859,0.0001781071971878587
33,0.03762500698041335,0.9133102085209295,0.7789144868865777,0.7167274556194678,0.00016879998503464561
34,0.0361514365324504,0.9138093234182115,0.7796410451203475,0.7178757893450725,0.000159418577929397
35,0.03566949542180416,0.9142215477005408,0.7804690380330802,0.7182069131961104,0.00015
36,0.03541409408139503,0.9145313489150878,0.7812137971537991,0.7206750731712283,0.000140581422070603
37,0.03291521378046395,0.9147880572920071,0.7816251697850294,0.7228575787965957,0.00013120001496535433
38,0.031716418137554735,0.9150337205675267,0.7820213120384617,0.7216342281507349,0.00012189280281214126
39,0.03037195758353097,0.9152279803483738,0.7826509990525877,0.7205016644291102,0.0001126965169252718
40,0.029238297601456426,0.9154000357828409,0.783120761102977,0.7219188479082141,0.0001036474508437579
41,0.028403171302189174,0.915511950910893,0.7831680472733915,0.721162899614299,9.47813170972983e-05
42,0.026856430576812914,0.9156391895850003,0.7835363552966637,0.7219629648911299,8.613310626523909e-05
43,0.02649668870606761,0.9157139575870442,0.7838894146376336,0.7233102223927775,7.773694888474267e-05
44,0.02570423361569684,0.9157491241807781,0.7844039644319245,0.7234199912252699,6.962598075315046e-05
45,0.023978715429513936,0.9157320405610229,0.7844805629879843,0.7222891475994698,6.183221215612904e-05
46,0.024007515251629658,0.9157248135057771,0.784484170792509,0.7231391679205563,5.4386401537696536e-05
47,0.022286669199221412,0.9157027154904249,0.7846268041451854,0.7233762306620957,4.7317934110696685e-05
48,0.021302147836061467,0.9156963775164849,0.7846922950813999,0.7242833060339549,4.06547058867883e-05
49,0.021164600228931865,0.9156709252616693,0.7848241003924792,0.7248037196363637,3.442301358363163e-05
50,0.020469116888039828,0.915673027269602,0.7846243956762473,0.725422633832122,2.8647450843757897e-05
51,0.020888980091138577,0.9156572416984078,0.784541146411817,0.7256418472971439,2.335081117469777e-05
52,0.019549235406670692,0.9156199141884448,0.7845327075102644,0.7273638524969469,1.8553997993420495e-05
53,0.018723910578795338,0.9155361185729769,0.7844880051185735,0.7283587884004912,1.4275942130097096e-05
54,0.018153655624166064,0.9155050474064661,0.7843190728970012,0.7262916221756843,1.0533527116762296e-05
55,0.018665235512290726,0.915416864404753,0.7842945826782527,0.7281875934740165,7.34152255572697e-06
56,0.018433511342129137,0.9153501058630154,0.7844432044110243,0.7295815363738586,4.712525830705338e-06
57,0.01847205776742639,0.9152712326879415,0.7841278803093775,0.7298441753074811,2.656912390696708e-06
58,0.018765885238227545,0.9151453773652765,0.7839673960021528,0.7292655978674982,1.1827948028283352e-06
59,0.017675854884574245,0.9150435414281949,0.783898025351366,0.7286698487354281,2.959907357592661e-07
60,0.019853531021962065,0.9148942456664917,0.7837921280232445,0.7284261290925548,0.0
