epoch,train_loss,val_loss,val_macro_auc,val_micro_auc,val_macro_auprc,val_fmax,val_f1_macro,lr,time_sec
1,0.928951,0.898757,0.848762,0.868805,0.657516,0.646121,0.613404,0.0004,11765.99
2,0.846131,0.823975,0.88759,0.891557,0.724551,0.691835,0.645058,0.0006,11804.91
3,0.816502,1.000405,0.882094,0.848421,0.720991,0.682767,0.566717,0.0008,9703.82
4,0.804593,0.804607,0.898063,0.894757,0.745723,0.700136,0.645343,0.001,5834.84
5,0.796166,0.85555,0.896417,0.89363,0.739956,0.694428,0.652988,0.001,5812.27
6,0.786927,0.813751,0.900954,0.901918,0.751553,0.711424,0.659032,0.00099878,89226.11
7,0.777812,0.78534,0.906362,0.900279,0.764339,0.719,0.669576,0.00099514,5488.22
